Source: https://www.dst.dk/pukora/epub/upload/22259/headword/dk/54.pdf
Navn,År,Vælgere,Afgivne stemmer,ugyldige stemmer,stemme pct.,Ja stemmer,Nej stemmer,
Grundlovsændring,1916,1291745,640759,6940,49.6,96.9,3.1
Grundlovsændring,1939,2173420,1063764,11770,48.9,91.9,8.1
Grundlovsændring,1953,2585800,1527658,25231,59.1,78.8,21.2
Valgretsalder,1961,2880337,1074558,9299,37.3,55.0,45.0
Valgretsalder,1969,3309551,2103854,8443,63.6,21.4,78.6
Valgretsalder,1971,3378087,2911749,78201,86.2,56.5,43.5
Valgretsalder,1978,3615158,2283276,8984,63.2,53.8,46.2
Tiltrædelse af EF,1972,3453763,3113122,19316,90.1,63.3,36.7
Tiltrædelse af traktaten om Den Europæiske Union,1992,3962005,3290610,30879,83.1,49.3,50.7
Tiltrædelse af Edinburghafgørelsen og Maastrichttraktaten,1993,3974672,3436940,34635,86.5,56.7,43.3
Tiltrædelse af Amsterdamtraktaten,1998,3996333,3046781,56494,76.2,55.1,44.9
Deltagelse i den fælles valuta,2000,3999325,3503525,40358,87.6,46.8,53.2
Ændring af tronfølgeloven,2009,4114789,2399948,222803,58.3,85.3,14.6
Tiltrædelse i den fælles patentdomstol,2014,4124696,2303783,83879,55.9,62.5,37.5
Retsforbeholdet til en tilvalgsordning,2015,4153041,2990261,55962,72.0,46.9,53.1
Salg af De Vestindiske Øer,1916,1200000,449094,7267,37.4,64.2,35.8
Danmarks tiltrædelse af EF-pakken,1986,3883429,2927652,29383,75.4,56.2,43.8
Erhvervelse af landbrug,1963,3043170,2222264,23920,73.0,38.4,61.6
Statshusmandslov,1963,3043170,2222123,25687,73.0,38.6,61.4
Kommunal forkøbsret,1963,3043170,2222238,22160,73.0,39.6,60.4
Naturfredning,1963,3043170,2222195,23391,73.0,42.6,57.4
